AREA_NAME_EN,STATUS_CODE,PRE_REGISTRATION_NUMBER,PROJECT_NAME_EN,MASTER_PROJECT_EN,LAND_TYPE_EN,STATUS_CODE_EN,PROCEDURE_NAME_EN,CREATION_week_category,CREATION_year_category,CREATION_day_name,CREATION_after_min_date,CREATION_hour_category,CREATION_month_name,CURRENT_STATUS_week_category,CURRENT_STATUS_year_category,CURRENT_STATUS_day_name,CURRENT_STATUS_after_min_date,CURRENT_STATUS_hour_category,CURRENT_STATUS_month_name,INSTANCE_DATE_week_category,INSTANCE_DATE_year_category,INSTANCE_DATE_day_name,INSTANCE_DATE_after_min_date,INSTANCE_DATE_month_name,PROCEDURE_DATE_week_category,PROCEDURE_DATE_day_name,PROCEDURE_DATE_after_min_date,PROCEDURE_DATE_month_name,PROCEDURE_YEAR_str,SEPARATED_REFERENCE_str,CREATION_year_after_min_year_str,MUNC_ZIP_CODE_str,SEPARATED_FROM_str,PRE_REGISTRATION_NUMBER_first_portion,CURRENT_STATUS_year_after_min_year,SEPARATED_REFERENCE,INSTANCE_DATE_day_normalized,INSTANCE_DATE_year_after_min_year,tree_3,PROCEDURE_AREA,CREATION_year_after_min_year,PROCEDURE_NUMBER,MUNC_NUMBER,MUNC_ZIP_CODE,ACTUAL_WORTH
Al Yufrah 2,VACANT,Rare cases,AQUILEGIA @ AKOYA OXYGEN,Dubai Tiger Woods,Residential,Vacant,Delayed Sell,34,"""2017""",Wednesday,1693,"""8""",August,45,2004,Monday,0,9,November,Rare cases,"""2018""",Tuesday,Rare cases,May,42,Saturday,1014,October,"""2018.0""",90787.0,"""4""",916.0,136234873.0,AKOYA,0.0,-0.320149281494146,0.032258064516129,3,4,-0.10170045199204301,4,-0.986694745635196,0.6313914876860071,1.4647622736214299,1300000.0
Al Yufrah 2,VACANT,Rare cases,AQUILEGIA @ AKOYA OXYGEN,Dubai Tiger Woods,Residential,Vacant,Delayed Sell,34,"""2017""",Wednesday,1693,"""8""",August,45,2004,Monday,0,9,November,13,"""2018""",Thursday,1151,March,52,Wednesday,Rare cases,December,"""2018.0""",90787.0,"""4""",916.0,136234873.0,AKOYA,0.0,-0.320149281494146,0.9354838709677421,3,4,-0.0930601606280471,4,-1.1764731232908898,0.6313914876860071,1.4647622736214299,1568000.0
Al Yufrah 2,VACANT,Rare cases,AQUILEGIA @ AKOYA OXYGEN,Dubai Tiger Woods,Residential,Vacant,Delayed Sell,34,"""2017""",Wednesday,1693,"""8""",August,45,2004,Monday,0,9,November,25,"""2018""",Sunday,Rare cases,June,16,Thursday,Rare cases,April,"""2018.0""",90787.0,"""4""",916.0,136234873.0,AKOYA,0.0,-0.320149281494146,0.7741935483870971,3,4,-0.10170045199204301,4,-0.7988728460996641,0.6313914876860071,1.4647622736214299,1300000.0
Al Yufrah 2,VACANT,Rare cases,AQUILEGIA @ AKOYA OXYGEN,Dubai Tiger Woods,Residential,Vacant,Delayed Sell,34,"""2017""",Wednesday,1693,"""8""",August,45,2004,Monday,0,9,November,40,"""2019""",Sunday,Rare cases,October,15,Monday,Rare cases,April,"""2019.0""",90787.0,"""4""",916.0,136234873.0,AKOYA,0.0,-0.320149281494146,0.193548387096774,4,4,-0.0930601606280471,4,0.253223263017339,0.6313914876860071,1.4647622736214299,1450000.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,29,"""2016""",Monday,1292,"""8""",July,48,2011,Sunday,2589,11,December,30,"""2016""",Tuesday,Rare cases,July,18,Sunday,Rare cases,May,"""2016.0""",312590.0,"""3""",631.0,27896331.0,SIDRA,7.0,-0.24463373621469897,0.8387096774193549,1,5,-0.0329403693204896,3,0.27132068562883604,0.6750248063007541,-0.18655993111095898,4891888.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,14,"""2016""",Wednesday,1190,"""12""",April,48,2011,Sunday,2589,11,December,23,"""2016""",Tuesday,491,June,10,Sunday,Rare cases,March,"""2016.0""",312590.0,"""3""",631.0,27901811.0,SIDRA,7.0,-0.24463373621469897,0.22580645161290303,1,5,-0.0580532658556656,3,-0.12828997041421,0.697545228811592,-0.18655993111095898,3503888.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,29,"""2016""",Monday,1292,"""11""",July,48,2011,Sunday,2589,11,December,30,"""2016""",Wednesday,541,July,29,Sunday,560,July,"""2016.0""",312590.0,"""3""",631.0,27896331.0,SIDRA,7.0,-0.24463373621469897,0.870967741935484,1,5,-0.0398081785533969,3,0.287950749650211,0.808739814958852,-0.18655993111095898,4707888.0
Al Yufrah 2,VACANT,Rare cases,AQUILEGIA @ AKOYA OXYGEN,Dubai Tiger Woods,Residential,Vacant,Delayed Sell,34,"""2017""",Wednesday,1693,"""8""",August,45,2004,Monday,0,9,November,45,"""2018""",Monday,1372,November,Rare cases,Saturday,Rare cases,November,"""2018.0""",90787.0,"""4""",916.0,136234873.0,AKOYA,0.0,-0.320149281494146,0.161290322580645,3,4,-0.10170045199204301,4,0.0296956377888547,0.6313914876860071,1.4647622736214299,1274000.0
Jumeirah First,VACANT,Unknown,Unknown,Unknown,Commercial,Vacant,Sell,25,"""2013""",Wednesday,Rare cases,"""8""",June,9,2010,Monday,1946,12,March,51,"""2016""",Sunday,Rare cases,December,51,Sunday,Rare cases,December,"""2016.0""",253306.0,"""0""",332.0,253306.0,Unknown,6.0,-0.26481769939980804,0.806451612903226,1,5,0.0395897783716898,0,5.997443023812361,-0.66400198215613,-1.91899971783021,6047337.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,6,"""2016""",Tuesday,1132,"""10""",February,48,2011,Sunday,2589,11,December,17,"""2016""",Sunday,454,May,7,Sunday,406,February,"""2016.0""",312590.0,"""3""",631.0,27901809.0,SIDRA,7.0,-0.24463373621469897,0.032258064516129,1,5,-0.0349528595450229,3,-0.381164767445122,-0.725933144060933,-0.18655993111095898,5043888.0
